Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2010-01-01,3,1,1,0.21000000000000005
2010-01-02,2,1,1,0.32000000000000006
2010-01-05,4,3,0,0.7500000000000001
2010-01-06,3,5,1,1.0000000000000002
2010-01-07,2,2,0,1.2200000000000002
2010-01-08,1,3,0,1.3500000000000003
2010-01-09,2,3,4,1.1800000000000004
2010-01-11,0,0,1,1.0800000000000003
2010-01-12,3,2,2,1.2000000000000004
2010-01-13,2,3,1,1.3300000000000003
2010-01-14,2,7,1,1.5000000000000002
2010-01-15,2,2,1,1.62
2010-01-16,3,4,2,1.7600000000000002
2010-01-17,0,1,0,1.7700000000000002
2010-01-18,1,0,1,1.7700000000000002
2010-01-19,2,0,2,1.7700000000000002
2010-01-20,2,5,3,1.7200000000000002
2010-01-21,3,4,2,1.8600000000000005
2010-01-22,3,1,2,1.9700000000000006
2010-01-23,1,2,5,1.5900000000000007
2010-01-24,0,0,2,1.3900000000000008
2010-01-25,0,2,0,1.4100000000000008
2010-01-26,0,5,3,1.1600000000000008
2010-01-27,4,0,1,1.4600000000000009
2010-01-28,5,1,3,1.6700000000000008
2010-01-29,1,4,2,1.610000000000001
2010-01-30,1,4,2,1.5500000000000012
2010-01-31,1,0,1,1.5500000000000012
2010-02-01,2,0,0,1.750000000000001
2010-02-02,1,5,3,1.6000000000000012
2010-02-03,3,3,2,1.7300000000000013
2010-02-04,5,2,2,2.050000000000001
2010-02-05,2,3,3,1.9800000000000013
2010-02-06,2,4,1,2.1200000000000014
2010-02-07,0,2,0,2.1400000000000015
2010-02-08,0,1,1,2.050000000000001
2010-02-09,1,1,2,1.9600000000000013
2010-02-10,3,3,3,1.9900000000000015
2010-02-11,3,3,2,2.1200000000000014
2010-02-12,4,1,2,2.330000000000001
2010-02-13,2,3,3,2.260000000000001
2010-02-15,0,1,0,2.270000000000001
2010-02-16,0,2,0,2.290000000000001
2010-02-17,1,4,1,2.330000000000001
2010-02-18,2,4,2,2.370000000000001
2010-02-19,3,3,3,2.400000000000001
2010-02-20,2,0,2,2.400000000000001
2010-02-21,0,1,0,2.4100000000000006
2010-02-22,0,1,1,2.3200000000000003
2010-02-23,1,5,2,2.27
2010-02-24,4,2,1,2.59
2010-02-25,1,3,2,2.5199999999999996
2010-02-26,1,2,4,2.2399999999999998
2010-02-27,1,2,2,2.1599999999999997
2010-03-02,1,4,1,2.1999999999999997
2010-03-03,1,4,2,2.1399999999999997
2010-03-04,1,4,2,2.0799999999999996
2010-03-05,3,2,3,2.1
2010-03-06,7,0,1,2.7
2010-03-07,1,2,0,2.8200000000000003
2010-03-09,2,4,2,2.8600000000000003
2010-03-10,2,4,7,2.4000000000000004
2010-03-11,3,5,2,2.55
2010-03-12,2,5,3,2.5
2010-03-13,2,2,1,2.62
2010-03-14,0,1,0,2.63
2010-03-15,0,1,0,2.6399999999999997
2010-03-16,1,4,4,2.38
2010-03-17,4,5,3,2.5299999999999994
2010-03-18,5,3,1,2.959999999999999
2010-03-19,1,3,3,2.7899999999999987
2010-03-20,3,6,0,3.149999999999999
2010-03-21,1,0,0,3.249999999999999
2010-03-22,0,1,0,3.259999999999999
2010-03-23,4,2,2,3.4799999999999986
2010-03-24,3,1,3,3.4899999999999984
2010-03-25,0,4,2,3.3299999999999983
2010-03-26,1,4,0,3.4699999999999984
2010-03-27,0,1,3,3.179999999999998
2010-03-29,0,2,1,3.099999999999998
2010-03-30,2,2,1,3.219999999999998
2010-03-31,1,3,1,3.249999999999998
2010-04-01,0,7,4,2.9199999999999977
2010-04-02,3,1,1,3.1299999999999977
2010-04-03,0,2,1,3.0499999999999976
2010-04-04,0,1,0,3.0599999999999974
2010-04-05,0,0,1,2.9599999999999973
2010-04-06,4,1,1,3.269999999999997
2010-04-07,0,2,4,2.889999999999997
2010-04-08,2,3,3,2.819999999999997
2010-04-09,2,2,3,2.739999999999997
2010-04-10,2,1,1,2.849999999999997
2010-04-12,0,1,1,2.7599999999999967
2010-04-13,1,4,2,2.6999999999999966
2010-04-14,2,2,1,2.8199999999999967
2010-04-15,4,3,2,3.0499999999999963
2010-04-16,2,8,1,3.2299999999999964
2010-04-17,0,3,3,2.959999999999996
2010-04-20,1,4,3,2.7999999999999963
2010-04-21,4,3,1,3.129999999999996
2010-04-22,3,3,2,3.259999999999996
2010-04-23,2,5,1,3.4099999999999957
2010-04-24,0,5,2,3.2599999999999953
2010-04-25,0,0,2,3.059999999999995
2010-04-26,1,2,0,3.1799999999999953
2010-04-27,0,3,2,3.009999999999995
2010-04-28,3,0,2,3.109999999999995
2010-04-29,5,2,2,3.429999999999995
2010-04-30,5,7,2,3.7999999999999945
2010-05-01,3,2,4,3.7199999999999944
2010-05-02,0,2,3,3.4399999999999946
2010-05-03,0,1,0,3.4499999999999944
2010-05-04,3,2,0,3.7699999999999947
2010-05-05,2,3,5,3.4999999999999947
2010-05-06,2,4,5,3.239999999999995
