Date,Open,High,Low,Close,Volume
9/17/2013 16:00:00,25.06,25.06,25.05,25.05,1525
9/18/2013 16:00:00,24.96,24.96,24.96,24.96,10000
9/19/2013 16:00:00,25.18,25.18,25.18,25.18,1000
9/23/2013 16:00:00,24.84,24.84,24.84,24.84,115
9/24/2013 16:00:00,24.98,24.98,24.98,24.98,2000
9/27/2013 16:00:00,25.24,25.24,25.1,25.1,640
10/1/2013 16:00:00,25.11,25.19,25.11,25.19,2040
10/7/2013 16:00:00,24.8,24.8,24.8,24.8,100
10/8/2013 16:00:00,24.8,24.8,24.8,24.8,525
10/9/2013 16:00:00,24.7,24.7,24.7,24.7,100
10/17/2013 16:00:00,25.4,25.4,25.4,25.4,600
10/18/2013 16:00:00,25.73,25.73,25.73,25.73,400
10/24/2013 16:00:00,25.5,25.5,25.48,25.48,430
10/29/2013 16:00:00,25.75,25.75,25.75,25.75,177
11/6/2013 16:00:00,25.2,25.2,25.19,25.19,500
11/11/2013 16:00:00,25.22,25.22,25.2,25.2,400
11/15/2013 16:00:00,25.41,25.41,25.41,25.41,300
11/19/2013 16:00:00,25.5,25.51,25.5,25.51,7139
11/20/2013 16:00:00,25.55,25.62,25.55,25.62,569
11/21/2013 16:00:00,25.81,25.81,25.81,25.81,200
11/27/2013 16:00:00,25.4,25.4,25.4,25.4,140
12/17/2013 16:00:00,25.23,25.23,25.23,25.23,350
12/19/2013 16:00:00,25.72,25.72,25.72,25.72,550
12/20/2013 16:00:00,25.74,25.74,25.74,25.74,200
12/30/2013 16:00:00,25.91,25.91,25.91,25.91,200
12/31/2013 16:00:00,25.88,25.88,25.88,25.88,100
1/3/2014 16:00:00,25.88,25.88,25.88,25.88,100
1/6/2014 16:00:00,25.61,25.61,25.61,25.61,100
1/7/2014 16:00:00,25.78,25.78,25.78,25.78,100
1/13/2014 16:00:00,25.98,25.98,25.75,25.75,300
1/27/2014 16:00:00,25.93,25.93,25.44,25.53,3655
1/29/2014 16:00:00,25.6,25.6,25.6,25.6,700
1/31/2014 16:00:00,25.55,25.85,25.55,25.85,2700
2/3/2014 16:00:00,25.75,25.75,25.32,25.32,555
2/4/2014 16:00:00,25.45,25.49,25.37,25.49,1300
2/5/2014 16:00:00,25.5,25.76,25.5,25.76,1200
2/7/2014 16:00:00,26.06,26.06,26.06,26.06,5400
