Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2014-01-02,1,4,0,0.14
2014-01-03,1,4,3,-0.10000000000000003
2014-01-04,1,0,0,-2.7755575615628914e-17
2014-01-07,0,1,2,-0.21000000000000005
2014-01-08,1,9,1,-0.30000000000000004
2014-01-09,2,3,0,-0.13000000000000003
2014-01-10,2,1,2,-0.14000000000000004
2014-01-11,0,1,1,-0.25000000000000006
2014-01-13,0,0,1,-0.3500000000000001
2014-01-14,0,1,2,-0.56
2014-01-15,2,5,1,-0.5100000000000001
2014-01-16,3,4,1,-0.3500000000000001
2014-01-17,4,0,1,-0.05000000000000007
2014-01-18,1,3,2,-0.18000000000000008
2014-01-20,0,3,1,-0.3100000000000001
2014-01-21,2,6,1,-0.27000000000000013
2014-01-22,0,3,1,-0.40000000000000013
2014-01-23,2,2,1,-0.3200000000000002
2014-01-24,2,2,0,-0.14000000000000018
2014-01-25,2,1,1,-0.050000000000000176
2014-01-27,0,1,0,-0.06000000000000018
2014-01-28,1,1,2,-0.1700000000000002
2014-01-29,1,6,1,-0.2300000000000002
2014-01-30,1,3,0,-0.1600000000000002
2014-01-31,2,6,3,-0.32000000000000023
2014-02-01,2,4,0,-0.16000000000000023
2014-02-03,0,2,0,-0.18000000000000022
2014-02-04,3,1,1,0.029999999999999825
2014-02-05,2,2,0,0.24999999999999983
2014-02-06,0,2,2,0.06999999999999983
2014-02-07,4,1,2,0.27999999999999986
2014-02-08,0,3,1,0.20999999999999985
2014-02-11,1,2,1,0.22999999999999982
2014-02-12,1,1,1,0.23999999999999985
2014-02-13,0,2,0,0.25999999999999984
2014-02-14,2,0,1,0.3599999999999999
2014-02-15,1,2,1,0.3799999999999999
2014-02-18,0,1,1,0.2899999999999999
2014-02-19,0,3,1,0.21999999999999992
2014-02-20,1,2,1,0.23999999999999994
2014-02-21,1,5,1,0.29
2014-02-22,2,2,1,0.41000000000000003
2014-02-25,1,2,2,0.33
2014-02-26,1,2,1,0.3500000000000001
2014-02-27,2,0,2,0.35000000000000003
2014-02-28,0,3,2,0.18000000000000002
2014-03-01,2,1,2,0.19
2014-03-04,1,3,0,0.32000000000000006
2014-03-05,0,2,1,0.24000000000000005
2014-03-06,0,1,0,0.25000000000000006
2014-03-07,2,6,2,0.31000000000000005
2014-03-08,0,4,2,0.15000000000000005
2014-03-10,1,0,0,0.25000000000000006
2014-03-11,0,3,0,0.2800000000000001
2014-03-12,0,2,2,0.10000000000000007
2014-03-13,1,4,2,0.04000000000000006
2014-03-14,1,4,0,0.18000000000000008
2014-03-15,2,0,0,0.3800000000000001
2014-03-18,2,0,2,0.38000000000000006
2014-03-19,1,2,2,0.3000000000000001
2014-03-20,0,2,1,0.22000000000000008
2014-03-21,3,4,2,0.3600000000000001
2014-03-22,3,3,1,0.5900000000000002
2014-03-24,0,1,0,0.6000000000000002
2014-03-25,1,5,0,0.7500000000000002
2014-03-26,3,3,2,0.8800000000000003
2014-03-27,0,2,2,0.7000000000000004
2014-03-28,2,4,3,0.6400000000000003
2014-03-29,0,2,0,0.6600000000000004
2014-03-31,0,2,0,0.6800000000000004
2014-04-01,3,5,0,1.0300000000000005
2014-04-02,1,3,0,1.1600000000000006
2014-04-03,0,3,0,1.1900000000000006
2014-04-04,2,0,1,1.2900000000000005
2014-04-05,0,2,1,1.2100000000000004
2014-04-08,1,0,0,1.3100000000000005
2014-04-09,2,2,0,1.5300000000000005
2014-04-10,0,6,0,1.5900000000000005
2014-04-11,2,0,1,1.6900000000000004
2014-04-12,1,1,0,1.8000000000000005
2014-04-14,1,2,0,1.9200000000000006
2014-04-15,1,3,0,2.0500000000000003
2014-04-16,3,3,0,2.3800000000000003
2014-04-17,1,1,1,2.39
2014-04-18,1,3,1,2.42
2014-04-19,0,4,0,2.46
2014-04-22,1,2,1,2.48
2014-04-23,1,2,1,2.5
2014-04-24,0,6,1,2.46
2014-04-25,0,3,1,2.3899999999999997
2014-04-26,0,6,1,2.3499999999999996
2014-04-29,0,2,1,2.2699999999999996
2014-04-30,1,6,1,2.3299999999999996
2014-05-01,3,1,0,2.6399999999999997
2014-05-02,2,2,0,2.86
2014-05-03,4,0,2,3.0599999999999996
2014-05-05,0,3,0,3.0899999999999994
2014-05-06,1,3,1,3.119999999999999
2014-05-07,0,2,0,3.1399999999999992
2014-05-08,3,5,1,3.3899999999999992
2014-05-09,2,3,1,3.519999999999999
2014-05-10,1,3,0,3.649999999999999
2014-05-13,2,1,2,3.659999999999999
2014-05-14,8,14,0,4.599999999999999
2014-05-15,1,4,1,4.639999999999999
2014-05-16,1,4,2,4.579999999999998
2014-05-17,0,2,3,4.299999999999998
2014-05-20,2,1,1,4.409999999999998
2014-05-21,2,2,1,4.5299999999999985
2014-05-22,2,3,0,4.759999999999999
2014-05-23,3,3,0,5.089999999999999
2014-05-24,0,3,1,5.02
2014-05-26,0,1,0,5.029999999999999
2014-05-27,0,4,0,5.069999999999999
2014-05-28,0,4,1,5.01
2014-05-29,2,0,0,5.21
2014-05-30,2,3,2,5.24
2014-05-31,2,4,2,5.28
2014-06-02,0,2,0,5.3
2014-06-03,1,3,4,5.029999999999999
2014-06-04,1,1,2,4.939999999999999
2014-06-05,1,1,0,5.049999999999998
2014-06-06,1,3,2,4.979999999999998
2014-06-07,1,0,1,4.979999999999998
2014-06-09,0,2,0,4.999999999999997
2014-06-10,0,1,2,4.809999999999997
2014-06-11,1,3,0,4.939999999999997
2014-06-12,1,4,0,5.0799999999999965
2014-06-13,3,2,1,5.299999999999996
2014-06-14,2,2,1,5.419999999999996
2014-06-16,0,1,0,5.429999999999996
2014-06-17,2,2,1,5.549999999999996
2014-06-18,5,7,1,6.019999999999997
2014-06-19,0,5,1,5.969999999999997
2014-06-20,2,5,0,6.219999999999997
2014-06-21,0,1,0,6.229999999999997
2014-06-23,0,0,1,6.129999999999997
2014-06-24,1,1,1,6.139999999999997
2014-06-25,1,0,4,5.839999999999996
2014-06-26,2,2,1,5.959999999999996
2014-06-27,2,3,2,5.989999999999997
2014-06-28,1,1,1,5.9999999999999964
2014-07-02,2,3,2,6.029999999999997
2014-07-03,2,1,1,6.139999999999997
2014-07-04,2,5,1,6.289999999999997
2014-07-05,0,2,1,6.209999999999997
2014-07-07,0,0,1,6.109999999999998
2014-07-08,1,2,1,6.129999999999997
2014-07-09,2,2,2,6.149999999999997
2014-07-10,1,4,0,6.2899999999999965
2014-07-11,1,2,2,6.2099999999999955
2014-07-12,0,1,3,5.9199999999999955
2014-07-15,3,1,1,6.1299999999999955
2014-07-16,2,4,3,6.069999999999996
2014-07-17,0,2,2,5.889999999999995
2014-07-18,2,1,1,5.999999999999996
2014-07-19,0,3,1,5.929999999999996
2014-07-22,1,2,0,6.049999999999995
2014-07-23,1,1,0,6.159999999999995
2014-07-24,0,1,1,6.069999999999995
2014-07-25,2,1,0,6.279999999999995
2014-07-26,2,1,2,6.289999999999995
2014-07-28,0,2,0,6.309999999999994
2014-07-29,2,3,1,6.439999999999995
2014-07-30,2,5,2,6.489999999999995
2014-07-31,1,1,3,6.2999999999999945
2014-08-01,1,0,3,6.099999999999994
2014-08-02,2,2,0,6.319999999999994
2014-08-06,0,4,0,6.359999999999994
2014-08-07,1,3,0,6.489999999999994
2014-08-08,2,2,3,6.409999999999994
2014-08-09,1,4,0,6.549999999999994
2014-08-11,0,0,1,6.449999999999994
2014-08-12,1,0,0,6.549999999999994
2014-08-13,2,0,0,6.749999999999994
2014-08-14,3,2,1,6.9699999999999935
2014-08-15,1,4,2,6.909999999999993
2014-08-16,1,4,0,7.049999999999993
2014-08-18,1,0,0,7.149999999999992
2014-08-19,1,2,0,7.269999999999992
2014-08-20,1,0,0,7.369999999999991
2014-08-21,2,1,0,7.579999999999991
2014-08-22,1,2,2,7.49999999999999
2014-08-23,1,1,2,7.4099999999999895
2014-08-25,0,1,0,7.419999999999989
2014-08-26,0,2,1,7.339999999999989
2014-08-27,3,2,0,7.659999999999989
2014-08-28,1,8,2,7.639999999999988
2014-08-29,1,4,1,7.679999999999988
2014-08-30,0,3,2,7.509999999999988
2014-09-02,1,1,0,7.619999999999988
2014-09-03,1,3,1,7.649999999999988
2014-09-04,1,3,1,7.679999999999988
2014-09-05,1,4,0,7.819999999999988
2014-09-06,2,5,1,7.969999999999987
2014-09-08,0,1,0,7.979999999999987
2014-09-09,1,1,1,7.989999999999988
2014-09-10,1,3,1,8.019999999999987
2014-09-11,2,6,0,8.279999999999987
2014-09-12,2,0,1,8.379999999999987
2014-09-13,0,3,1,8.309999999999986
2014-09-16,0,4,0,8.349999999999985
2014-09-17,2,4,0,8.589999999999984
2014-09-18,1,2,1,8.609999999999983
2014-09-19,1,3,1,8.639999999999983
2014-09-20,1,2,0,8.759999999999982
2014-09-23,2,3,1,8.889999999999981
2014-09-24,2,3,1,9.01999999999998
2014-09-25,0,5,1,8.969999999999981
2014-09-26,0,1,1,8.879999999999981
2014-09-27,3,4,1,9.119999999999981
2014-09-29,0,1,1,9.029999999999982
2014-09-30,1,1,0,9.139999999999981
2014-10-01,0,3,3,8.86999999999998
2014-10-02,0,3,0,8.899999999999979
2014-10-03,1,2,1,8.919999999999979
2014-10-04,0,4,0,8.959999999999978
2014-10-06,1,1,0,9.069999999999977
2014-10-07,1,1,1,9.079999999999977
2014-10-08,1,1,2,8.989999999999977
2014-10-09,0,3,0,9.019999999999976
2014-10-10,2,4,2,9.059999999999976
2014-10-11,1,3,1,9.089999999999975
2014-10-14,1,2,0,9.209999999999974
2014-10-15,1,3,3,9.039999999999973
2014-10-16,1,2,0,9.159999999999972
2014-10-17,2,3,1,9.28999999999997
2014-10-18,2,3,5,9.01999999999997
2014-10-20,0,1,1,8.92999999999997
2014-10-21,2,1,2,8.93999999999997
2014-10-22,0,6,2,8.79999999999997
2014-10-23,4,2,1,9.11999999999997
2014-10-24,1,5,2,9.069999999999972
2014-10-25,1,1,2,8.979999999999972
2014-10-27,0,2,1,8.899999999999972
2014-10-28,1,1,0,9.009999999999971
2014-10-29,0,5,4,8.659999999999972
2014-10-30,0,2,1,8.579999999999972
2014-10-31,1,2,0,8.69999999999997
2014-11-01,1,3,0,8.82999999999997
2014-11-03,0,1,0,8.83999999999997
2014-11-04,2,2,0,9.059999999999969
2014-11-05,3,2,4,8.979999999999968
2014-11-06,2,3,3,8.909999999999966
2014-11-07,1,0,3,8.709999999999965
2014-11-08,1,1,4,8.419999999999964
2014-11-10,0,1,0,8.429999999999964
2014-11-12,2,2,1,8.549999999999963
2014-11-13,1,4,2,8.489999999999963
2014-11-14,3,2,2,8.609999999999964
2014-11-15,1,4,0,8.749999999999963
2014-11-17,0,0,1,8.649999999999963
2014-11-18,2,3,0,8.879999999999962
2014-11-19,3,3,2,9.009999999999962
2014-11-20,2,1,1,9.119999999999962
2014-11-21,0,2,2,8.939999999999962
2014-11-22,2,3,2,8.969999999999962
2014-11-24,0,0,2,8.769999999999962
2014-11-25,0,2,2,8.589999999999963
2014-11-26,1,2,3,8.409999999999961
2014-11-27,1,5,3,8.25999999999996
2014-11-28,3,2,2,8.379999999999962
2014-11-29,0,2,2,8.199999999999962
2014-12-01,1,0,0,8.299999999999962
2014-12-02,0,2,6,7.719999999999962
2014-12-03,1,3,3,7.549999999999962
2014-12-04,2,2,1,7.669999999999962
2014-12-05,1,3,2,7.5999999999999615
2014-12-06,0,2,4,7.219999999999961
2014-12-08,0,0,2,7.0199999999999605
2014-12-09,0,2,2,6.83999999999996
2014-12-10,2,7,4,6.70999999999996
2014-12-11,0,2,1,6.62999999999996
2014-12-12,1,3,0,6.75999999999996
2014-12-13,0,3,3,6.48999999999996
2014-12-15,2,0,1,6.589999999999961
2014-12-16,1,3,2,6.5199999999999605
2014-12-17,1,3,1,6.549999999999961
2014-12-18,2,2,2,6.56999999999996
2014-12-19,2,0,1,6.669999999999961
2014-12-20,1,5,4,6.41999999999996
2014-12-23,1,0,4,6.119999999999959
2014-12-24,0,3,1,6.04999999999996
2014-12-26,0,2,2,5.869999999999959
2014-12-27,0,1,1,5.779999999999959
2014-12-30,1,3,4,5.509999999999959
2014-12-31,2,2,4,5.329999999999958
2015-01-02,1,1,2,5.239999999999958
2015-01-03,1,3,4,4.969999999999957
2015-01-05,0,0,1,4.8699999999999575
2015-01-06,1,1,4,4.5799999999999566
2015-01-07,1,2,5,4.199999999999956
2015-01-08,0,0,3,3.899999999999956
2015-01-09,4,3,2,4.129999999999956
2015-01-10,0,4,5,3.6699999999999564
2015-01-13,2,1,2,3.679999999999956
2015-01-14,2,1,3,3.5899999999999563
2015-01-15,5,1,6,3.499999999999956
2015-01-16,0,2,3,3.219999999999956
2015-01-17,3,3,3,3.249999999999956
2015-01-19,1,1,2,3.1599999999999557
2015-01-20,1,5,2,3.1099999999999555
2015-01-21,0,2,2,2.9299999999999553
2015-01-22,0,2,2,2.749999999999955
2015-01-23,1,2,6,2.269999999999955
2015-01-24,0,0,4,1.8699999999999553
2015-01-26,0,1,2,1.6799999999999553
2015-01-27,2,1,4,1.4899999999999551
2015-01-28,0,2,4,1.109999999999955
2015-01-29,1,2,2,1.0299999999999552
2015-01-30,0,1,7,0.3399999999999551
2015-01-31,0,0,5,-0.16000000000004488
2015-02-02,0,1,0,-0.1700000000000449
2015-02-03,1,2,2,-0.2900000000000449
2015-02-04,0,3,3,-0.620000000000045
2015-02-05,0,3,2,-0.8500000000000449
2015-02-06,3,4,1,-0.6900000000000449
2015-02-07,0,3,1,-0.8200000000000449
2015-02-09,0,1,0,-0.8300000000000449
2015-02-10,2,0,2,-0.8300000000000449
2015-02-11,2,2,1,-0.750000000000045
2015-02-12,1,1,3,-0.960000000000045
2015-02-13,0,0,3,-1.260000000000045
2015-02-14,3,2,1,-1.0800000000000451
2015-02-17,0,1,0,-1.0900000000000452
2015-02-18,0,0,2,-1.290000000000045
2015-02-19,1,3,2,-1.420000000000045
2015-02-20,2,0,3,-1.520000000000045
2015-02-21,1,3,2,-1.650000000000045
2015-02-24,1,2,3,-1.870000000000045
2015-02-25,2,3,3,-2.000000000000045
2015-02-26,1,1,3,-2.2100000000000444
2015-02-27,2,2,1,-2.1300000000000443
2015-02-28,1,4,3,-2.3700000000000445
2015-03-02,1,1,0,-2.280000000000044
2015-03-03,0,2,0,-2.3000000000000442
2015-03-04,1,1,4,-2.610000000000044
2015-03-05,6,0,1,-2.110000000000044
2015-03-06,2,0,3,-2.210000000000044
2015-03-07,3,1,1,-2.0200000000000435
2015-03-09,0,0,1,-2.1200000000000436
2015-03-10,0,1,2,-2.3300000000000436
2015-03-11,1,5,1,-2.3800000000000434
2015-03-12,1,4,2,-2.5200000000000435
2015-03-13,0,2,6,-3.1400000000000436
2015-03-14,1,2,2,-3.2600000000000438
2015-03-17,1,3,5,-3.6900000000000435
2015-03-18,1,1,0,-3.600000000000043
2015-03-19,2,2,2,-3.620000000000043
