Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2014-01-02,1,4,0,0.01999999999999999
2014-01-03,1,4,3,-0.10000000000000003
2014-01-04,1,0,0,-2.7755575615628914e-17
2014-01-07,0,1,2,-0.18000000000000005
2014-01-08,1,9,1,-2.7755575615628914e-17
2014-01-09,2,3,0,0.13999999999999996
2014-01-10,2,1,2,0.11999999999999995
2014-01-11,0,1,1,-5.551115123125783e-17
2014-01-13,0,0,1,-0.10000000000000006
2014-01-14,0,1,2,-0.28
2014-01-15,2,5,1,-0.08000000000000002
2014-01-16,3,4,1,0.04000000000000001
2014-01-17,4,0,1,0.3400000000000001
2014-01-18,1,3,2,0.18000000000000005
2014-01-20,0,3,1,0.02000000000000003
2014-01-21,2,6,1,0.0
2014-01-22,0,3,1,-0.039999999999999994
2014-01-23,2,2,1,0.020000000000000018
2014-01-24,2,2,0,0.18000000000000002
2014-01-25,2,1,1,0.26
2014-01-27,0,1,0,0.24
2014-01-28,1,1,2,0.11999999999999995
2014-01-29,1,6,1,-5.551115123125783e-17
2014-01-30,1,3,0,0.03999999999999994
2014-01-31,2,6,3,0.059999999999999915
2014-02-01,2,4,0,0.17999999999999988
2014-02-03,0,2,0,0.13999999999999987
2014-02-04,3,1,1,0.31999999999999995
2014-02-05,2,2,0,0.48
2014-02-06,0,2,2,0.23999999999999996
2014-02-07,4,1,2,0.42
2014-02-08,0,3,1,0.25999999999999995
2014-02-11,1,2,1,0.22
2014-02-12,1,1,1,0.2
2014-02-13,0,2,0,0.16
2014-02-14,2,0,1,0.26
2014-02-15,1,2,1,0.22
2014-02-18,0,1,1,0.09999999999999999
2014-02-19,0,3,1,0.06
2014-02-20,1,2,1,0.01999999999999999
2014-02-21,1,5,1,-0.08000000000000002
2014-02-22,2,2,1,-0.020000000000000018
2014-02-25,1,2,2,-0.08000000000000002
2014-02-26,1,2,1,-0.04000000000000001
2014-02-27,2,0,2,-0.04000000000000001
2014-02-28,0,3,2,-0.18
2014-03-01,2,1,2,-0.15999999999999998
2014-03-04,1,3,0,4.163336342344337e-17
2014-03-05,0,2,1,-0.059999999999999956
2014-03-06,0,1,0,-0.03999999999999995
2014-03-07,2,6,2,0.08000000000000007
2014-03-08,0,4,2,-0.039999999999999925
2014-03-10,1,0,0,0.06000000000000008
2014-03-11,0,3,0,6.938893903907228e-17
2014-03-12,0,2,2,-0.15999999999999995
2014-03-13,1,4,2,-0.17999999999999994
2014-03-14,1,4,0,8.326672684688674e-17
2014-03-15,2,0,0,0.2000000000000001
2014-03-18,2,0,2,0.20000000000000012
2014-03-19,1,2,2,0.06000000000000014
2014-03-20,0,2,1,1.3877787807814457e-16
2014-03-21,3,4,2,0.02000000000000013
2014-03-22,3,3,1,0.16000000000000014
2014-03-24,0,1,0,0.14000000000000012
2014-03-25,1,5,0,0.14000000000000012
2014-03-26,3,3,2,0.18000000000000016
2014-03-27,0,2,2,0.020000000000000157
2014-03-28,2,4,3,1.3877787807814457e-16
2014-03-29,0,2,0,-0.03999999999999987
2014-03-31,0,2,0,1.3877787807814457e-16
2014-04-01,3,5,0,0.20000000000000015
2014-04-02,1,3,0,0.24000000000000016
2014-04-03,0,3,0,0.18000000000000016
2014-04-04,2,0,1,0.28000000000000014
2014-04-05,0,2,1,0.14000000000000012
2014-04-08,1,0,0,0.24000000000000013
2014-04-09,2,2,0,0.40000000000000013
2014-04-10,0,6,0,0.28000000000000014
2014-04-11,2,0,1,0.3800000000000001
2014-04-12,1,1,0,0.4600000000000001
2014-04-14,1,2,0,0.52
2014-04-15,1,3,0,0.5599999999999999
2014-04-16,3,3,0,0.7999999999999999
2014-04-17,1,1,1,0.7799999999999999
2014-04-18,1,3,1,0.7199999999999999
2014-04-19,0,4,0,0.6399999999999999
2014-04-22,1,2,1,0.5999999999999999
2014-04-23,1,2,1,0.5599999999999998
2014-04-24,0,6,1,0.33999999999999986
2014-04-25,0,3,1,0.17999999999999983
2014-04-26,0,6,1,-0.0400000000000002
2014-04-29,0,2,1,-0.1000000000000002
2014-04-30,1,6,1,0.019999999999999823
2014-05-01,3,1,0,0.2999999999999998
2014-05-02,2,2,0,0.45999999999999985
2014-05-03,4,0,2,0.6599999999999999
2014-05-05,0,3,0,0.5999999999999999
2014-05-06,1,3,1,0.5399999999999998
2014-05-07,0,2,0,0.4999999999999998
2014-05-08,3,5,1,0.5999999999999999
2014-05-09,2,3,1,0.6399999999999998
2014-05-10,1,3,0,0.6799999999999997
2014-05-13,2,1,2,0.6599999999999997
2014-05-14,8,14,0,1.1799999999999997
2014-05-15,1,4,1,1.0999999999999996
2014-05-16,1,4,2,0.9199999999999997
2014-05-17,0,2,3,0.5799999999999996
2014-05-20,2,1,1,0.6599999999999996
2014-05-21,2,2,1,0.7199999999999996
2014-05-22,2,3,0,0.8599999999999997
2014-05-23,3,3,0,1.0999999999999996
2014-05-24,0,3,1,0.9399999999999996
2014-05-26,0,1,0,0.9199999999999996
2014-05-27,0,4,0,0.8399999999999996
2014-05-28,0,4,1,0.6599999999999997
2014-05-29,2,0,0,0.8599999999999997
2014-05-30,2,3,2,0.7999999999999996
2014-05-31,2,4,2,0.7199999999999995
2014-06-02,0,2,0,0.6799999999999995
2014-06-03,1,3,4,0.31999999999999945
2014-06-04,1,1,2,0.19999999999999946
2014-06-05,1,1,0,0.27999999999999947
2014-06-06,1,3,2,0.11999999999999943
2014-06-07,1,0,1,0.11999999999999941
2014-06-09,0,2,0,0.0799999999999994
2014-06-10,0,1,2,-0.1000000000000006
2014-06-11,1,3,0,0.059999999999999415
2014-06-12,1,4,0,0.0799999999999994
2014-06-13,3,2,1,0.23999999999999946
2014-06-14,2,2,1,0.2999999999999995
2014-06-16,0,1,0,0.27999999999999947
2014-06-17,2,2,1,0.3399999999999994
2014-06-18,5,7,1,0.5999999999999994
2014-06-19,0,5,1,0.39999999999999947
2014-06-20,2,5,0,0.49999999999999944
2014-06-21,0,1,0,0.4799999999999994
2014-06-23,0,0,1,0.37999999999999945
2014-06-24,1,1,1,0.35999999999999943
2014-06-25,1,0,4,0.05999999999999939
2014-06-26,2,2,1,0.11999999999999938
2014-06-27,2,3,2,0.05999999999999937
2014-06-28,1,1,1,0.039999999999999356
2014-07-02,2,3,2,-0.020000000000000642
2014-07-03,2,1,1,0.05999999999999937
2014-07-04,2,5,1,0.05999999999999939
2014-07-05,0,2,1,-6.106226635438361e-16
2014-07-07,0,0,1,-0.10000000000000062
2014-07-08,1,2,1,-0.06000000000000061
2014-07-09,2,2,2,-0.0200000000000006
2014-07-10,1,4,0,-6.106226635438361e-16
2014-07-11,1,2,2,-0.06000000000000061
2014-07-12,0,1,3,-0.34000000000000064
2014-07-15,3,1,1,-0.12000000000000059
2014-07-16,2,4,3,-0.14000000000000062
2014-07-17,0,2,2,-0.3000000000000006
2014-07-18,2,1,1,-0.1800000000000006
2014-07-19,0,3,1,-0.22000000000000058
2014-07-22,1,2,0,-0.08000000000000057
2014-07-23,1,1,0,-5.689893001203927e-16
2014-07-24,0,1,1,-0.08000000000000057
2014-07-25,2,1,0,0.09999999999999944
2014-07-26,2,1,2,0.07999999999999942
2014-07-28,0,2,0,0.03999999999999941
2014-07-29,2,3,1,0.07999999999999942
2014-07-30,2,5,2,-0.0200000000000006
2014-07-31,1,1,3,-0.20000000000000062
2014-08-01,1,0,3,-0.4000000000000007
2014-08-02,2,2,0,-0.16000000000000067
2014-08-06,0,4,0,-0.08000000000000065
2014-08-07,1,3,0,-0.04000000000000066
2014-08-08,2,2,3,-0.10000000000000067
2014-08-09,1,4,0,0.07999999999999935
2014-08-11,0,0,1,-0.020000000000000656
2014-08-12,1,0,0,0.07999999999999935
2014-08-13,2,0,0,0.27999999999999936
2014-08-14,3,2,1,0.4399999999999994
2014-08-15,1,4,2,0.25999999999999934
2014-08-16,1,4,0,0.2799999999999993
2014-08-18,1,0,0,0.37999999999999934
2014-08-19,1,2,0,0.4399999999999993
2014-08-20,1,0,0,0.5399999999999993
2014-08-21,2,1,0,0.7199999999999993
2014-08-22,1,2,2,0.5799999999999992
2014-08-23,1,1,2,0.45999999999999913
2014-08-25,0,1,0,0.4399999999999991
2014-08-26,0,2,1,0.29999999999999905
2014-08-27,3,2,0,0.559999999999999
2014-08-28,1,8,2,0.299999999999999
2014-08-29,1,4,1,0.21999999999999903
2014-08-30,0,3,2,-0.04000000000000099
2014-09-02,1,1,0,0.03999999999999901
2014-09-03,1,3,1,-0.020000000000001003
2014-09-04,1,3,1,0.03999999999999901
2014-09-05,1,4,0,0.059999999999999
2014-09-06,2,5,1,0.059999999999999
2014-09-08,0,1,0,0.039999999999998995
2014-09-09,1,1,1,0.019999999999999005
2014-09-10,1,3,1,-0.04000000000000101
2014-09-11,2,6,0,0.03999999999999898
2014-09-12,2,0,1,0.139999999999999
2014-09-13,0,3,1,-0.02000000000000103
2014-09-16,0,4,0,0.059999999999998985
2014-09-17,2,4,0,0.179999999999999
2014-09-18,1,2,1,0.13999999999999901
2014-09-19,1,3,1,0.079999999999999
2014-09-20,1,2,0,0.139999999999999
2014-09-23,2,3,1,0.17999999999999894
2014-09-24,2,3,1,0.21999999999999892
2014-09-25,0,5,1,0.019999999999998908
2014-09-26,0,1,1,-0.060000000000001094
2014-09-27,3,4,1,0.059999999999998915
2014-09-29,0,1,1,-0.020000000000001086
2014-09-30,1,1,0,0.059999999999998915
2014-10-01,0,3,3,-0.1800000000000011
2014-10-02,0,3,0,-0.12000000000000109
2014-10-03,1,2,1,-0.08000000000000108
2014-10-04,0,4,0,-1.0685896612017132e-15
2014-10-06,1,1,0,0.07999999999999893
2014-10-07,1,1,1,0.05999999999999893
2014-10-08,1,1,2,-0.020000000000001086
2014-10-09,0,3,0,0.039999999999998925
2014-10-10,2,4,2,-0.04000000000000109
2014-10-11,1,3,1,0.01999999999999892
2014-10-14,1,2,0,0.07999999999999892
2014-10-15,1,3,3,-0.060000000000001094
2014-10-16,1,2,0,-1.096345236817342e-15
2014-10-17,2,3,1,0.039999999999998884
2014-10-18,2,3,5,-0.20000000000000112
2014-10-20,0,1,1,-0.28000000000000114
2014-10-21,2,1,2,-0.2600000000000011
2014-10-22,0,6,2,-0.3400000000000011
2014-10-23,4,2,1,-1.0547118733938987e-15
2014-10-24,1,5,2,-1.0547118733938987e-15
2014-10-25,1,1,2,-0.08000000000000106
2014-10-27,0,2,1,-0.14000000000000104
2014-10-28,1,1,0,-0.02000000000000103
2014-10-29,0,5,4,-0.32000000000000106
2014-10-30,0,2,1,-0.380000000000001
2014-10-31,1,2,0,-0.24000000000000102
2014-11-01,1,3,0,-0.080000000000001
2014-11-03,0,1,0,-0.060000000000001
2014-11-04,2,2,0,0.099999999999999
2014-11-05,3,2,4,0.03999999999999901
2014-11-06,2,3,3,-1.0130785099704553e-15
2014-11-07,1,0,3,-0.20000000000000107
2014-11-08,1,1,4,-0.4800000000000011
2014-11-10,0,1,0,-0.4600000000000011
2014-11-12,2,2,1,-0.32000000000000106
2014-11-13,1,4,2,-0.340000000000001
2014-11-14,3,2,2,-0.20000000000000098
2014-11-15,1,4,0,-0.02000000000000096
2014-11-17,0,0,1,-0.12000000000000097
2014-11-18,2,3,0,0.019999999999999032
2014-11-19,3,3,2,0.05999999999999904
2014-11-20,2,1,1,0.13999999999999907
2014-11-21,0,2,2,-0.020000000000000934
2014-11-22,2,3,2,0.03999999999999908
2014-11-24,0,0,2,-0.16000000000000092
2014-11-25,0,2,2,-0.32000000000000095
2014-11-26,1,2,3,-0.480000000000001
2014-11-27,1,5,3,-0.5800000000000011
2014-11-28,3,2,2,-0.44000000000000106
2014-11-29,0,2,2,-0.600000000000001
2014-12-01,1,0,0,-0.500000000000001
2014-12-02,0,2,6,-1.060000000000001
2014-12-03,1,3,3,-1.200000000000001
