Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2014-01-02,1,4,0,0.1
2014-01-03,1,4,3,-0.10000000000000003
2014-01-04,1,0,0,-2.7755575615628914e-17
2014-01-07,0,1,2,-0.20000000000000004
2014-01-08,1,9,1,-0.20000000000000004
2014-01-09,2,3,0,-2.7755575615628914e-17
2014-01-10,2,1,2,-2.7755575615628914e-17
2014-01-11,0,1,1,-0.10000000000000003
2014-01-13,0,0,1,-0.20000000000000004
2014-01-14,0,1,2,-0.4
2014-01-15,2,5,1,-0.30000000000000004
2014-01-16,3,4,1,-0.1
2014-01-17,4,0,1,0.20000000000000004
2014-01-18,1,3,2,0.10000000000000003
2014-01-20,0,3,1,2.7755575615628914e-17
2014-01-21,2,6,1,0.10000000000000003
2014-01-22,0,3,1,2.7755575615628914e-17
2014-01-23,2,2,1,0.10000000000000003
2014-01-24,2,2,0,0.30000000000000004
2014-01-25,2,1,1,0.4
2014-01-27,0,1,0,0.4
2014-01-28,1,1,2,0.3
2014-01-29,1,6,1,0.30000000000000004
2014-01-30,1,3,0,0.4
2014-01-31,2,6,3,0.30000000000000004
2014-02-01,2,4,0,0.5
2014-02-03,0,2,0,0.5
2014-02-04,3,1,1,0.7000000000000001
2014-02-05,2,2,0,0.9000000000000001
2014-02-06,0,2,2,0.7000000000000002
2014-02-07,4,1,2,0.9000000000000001
2014-02-08,0,3,1,0.8000000000000002
2014-02-11,1,2,1,0.8000000000000002
2014-02-12,1,1,1,0.8000000000000002
2014-02-13,0,2,0,0.8000000000000002
2014-02-14,2,0,1,0.9000000000000002
2014-02-15,1,2,1,0.9000000000000002
2014-02-18,0,1,1,0.8000000000000003
2014-02-19,0,3,1,0.7000000000000003
2014-02-20,1,2,1,0.7000000000000003
2014-02-21,1,5,1,0.7000000000000003
2014-02-22,2,2,1,0.8000000000000004
2014-02-25,1,2,2,0.7000000000000004
2014-02-26,1,2,1,0.7000000000000004
2014-02-27,2,0,2,0.7000000000000004
2014-02-28,0,3,2,0.5000000000000004
2014-03-01,2,1,2,0.5000000000000004
2014-03-04,1,3,0,0.6000000000000004
2014-03-05,0,2,1,0.5000000000000004
2014-03-06,0,1,0,0.5000000000000004
2014-03-07,2,6,2,0.5000000000000004
2014-03-08,0,4,2,0.30000000000000043
2014-03-10,1,0,0,0.40000000000000047
2014-03-11,0,3,0,0.40000000000000047
2014-03-12,0,2,2,0.20000000000000046
2014-03-13,1,4,2,0.10000000000000048
2014-03-14,1,4,0,0.20000000000000048
2014-03-15,2,0,0,0.40000000000000047
2014-03-18,2,0,2,0.4000000000000005
2014-03-19,1,2,2,0.30000000000000054
2014-03-20,0,2,1,0.20000000000000054
2014-03-21,3,4,2,0.30000000000000054
2014-03-22,3,3,1,0.5000000000000006
2014-03-24,0,1,0,0.5000000000000006
2014-03-25,1,5,0,0.6000000000000005
2014-03-26,3,3,2,0.7000000000000006
2014-03-27,0,2,2,0.5000000000000007
2014-03-28,2,4,3,0.4000000000000006
2014-03-29,0,2,0,0.4000000000000006
2014-03-31,0,2,0,0.4000000000000006
2014-04-01,3,5,0,0.7000000000000006
2014-04-02,1,3,0,0.8000000000000006
2014-04-03,0,3,0,0.8000000000000006
2014-04-04,2,0,1,0.9000000000000007
2014-04-05,0,2,1,0.8000000000000007
2014-04-08,1,0,0,0.9000000000000007
2014-04-09,2,2,0,1.1000000000000008
2014-04-10,0,6,0,1.1000000000000008
2014-04-11,2,0,1,1.2000000000000006
2014-04-12,1,1,0,1.3000000000000007
2014-04-14,1,2,0,1.4000000000000008
2014-04-15,1,3,0,1.5000000000000009
2014-04-16,3,3,0,1.800000000000001
2014-04-17,1,1,1,1.800000000000001
2014-04-18,1,3,1,1.800000000000001
2014-04-19,0,4,0,1.800000000000001
2014-04-22,1,2,1,1.800000000000001
2014-04-23,1,2,1,1.800000000000001
2014-04-24,0,6,1,1.7000000000000008
2014-04-25,0,3,1,1.6000000000000008
2014-04-26,0,6,1,1.5000000000000007
2014-04-29,0,2,1,1.4000000000000006
